trade_date,ticker,entry_price,shares,confirmation_score,current_price,target_10,target_20,target_30,stop_8,last_updated,cost,market_value,p_l,p_l_%,status
2026-06-24,GGLS,5.93,100,50,5.934999942779541,6.523000000000001,7.116,7.709,5.4556,2026-06-24T16:39:47-04:00,593.0,593.4999942779541,0.49999427795410156,0.08431606710861406,OPEN
2026-06-24,DHC,9.36,100,50,9.364999771118164,10.296,11.232,12.168,8.6112,2026-06-24T16:39:47-04:00,936.0,936.4999771118164,0.49997711181640625,0.05341635810005574,OPEN
2026-06-24,CAG,13.6,100,50,13.604999542236328,14.96,16.32,17.68,12.512,2026-06-24T16:39:47-04:00,1360.0,1360.4999542236328,0.4999542236328125,0.036761339973012674,OPEN
2026-06-24,SHC,16.69,100,50,16.69499969482422,18.359,20.028000000000002,21.697000000000003,15.354800000000003,2026-06-24T16:39:47-04:00,1669.0000000000002,1669.4999694824219,0.4999694824216476,0.029956230222993874,OPEN
2026-06-24,NVD,5.28,100,50,5.28000020980835,5.808000000000001,6.336,6.864000000000001,4.857600000000001,2026-06-24T16:39:47-04:00,528.0,528.000020980835,2.09808349609375e-05,3.973642970223068e-06,OPEN
2026-06-24,AMRX,17.28,100,50,17.280000686645508,19.008000000000003,20.736,22.464000000000002,15.897600000000002,2026-06-24T16:39:47-04:00,1728.0,1728.0000686645508,6.866455078125e-05,3.973642970223068e-06,OPEN
2026-06-24,GORO,1.33,100,50,1.3300000429153442,1.4630000000000003,1.596,1.729,1.2236,2026-06-24T16:39:47-04:00,133.0,133.00000429153442,4.291534423828125e-06,3.2267176042211076e-06,OPEN
2026-06-24,IRT,16.52,100,50,16.520000457763672,18.172,19.823999999999998,21.476,15.1984,2026-06-24T16:39:47-04:00,1652.0,1652.0000457763672,4.57763671875e-05,2.770966545107001e-06,OPEN
2026-06-24,SLDB,9.26,100,50,9.260000228881836,10.186,11.112,12.038,8.5192,2026-06-24T16:39:47-04:00,926.0,926.0000228881836,2.288818359375e-05,2.471726090469417e-06,OPEN
2026-06-24,GNW,9.3,100,50,9.300000190734863,10.230000000000002,11.16,12.090000000000002,8.556000000000001,2026-06-24T16:39:47-04:00,930.0000000000001,930.0000190734863,1.9073486214438162e-05,2.0509125064904765e-06,OPEN
2026-06-24,UTZ,7.36,100,50,7.360000133514404,8.096000000000002,8.832,9.568000000000001,6.7712,2026-06-24T16:39:47-04:00,736.0,736.0000133514404,1.33514404296875e-05,1.8140543955880162e-06,OPEN
2026-06-24,AMLX,17.01,100,50,17.010000228881836,18.711000000000002,20.412000000000003,22.113000000000003,15.649200000000002,2026-06-24T16:39:47-04:00,1701.0000000000002,1701.0000228881836,2.2888183366376325e-05,1.3455722092103883e-06,OPEN
2026-06-24,SBRA,19.09,100,50,19.09000015258789,20.999000000000002,22.907999999999998,24.817,17.5628,2026-06-24T16:39:47-04:00,1909.0,1909.000015258789,1.52587890625e-05,7.99307975363206e-07,OPEN
2026-06-24,FNB,18.99,100,50,18.989999771118164,20.889,22.787999999999997,24.686999999999998,17.4708,2026-06-24T16:39:47-04:00,1898.9999999999998,1898.9999771118164,-2.2888183366376325e-05,-1.2052755904434775e-06,OPEN
2026-06-24,VLY,14.61,100,50,14.609999656677246,16.071,17.532,18.993,13.4412,2026-06-24T16:39:47-04:00,1461.0,1460.9999656677246,-3.4332275390625e-05,-2.3499161727613682e-06,OPEN
2026-06-24,HAPN,19.47,100,50,19.469999313354492,21.417,23.363999999999997,25.311,17.912399999999998,2026-06-24T16:39:47-04:00,1947.0,1946.9999313354492,-6.866455078125e-05,-3.526684677623848e-06,OPEN
2026-06-24,KVUE,18.8,100,50,18.799999237060547,20.680000000000003,22.56,24.44,17.296000000000003,2026-06-24T16:39:47-04:00,1880.0,1879.9999237060547,-7.62939453125e-05,-4.058188585176481e-06,OPEN
2026-06-24,AEO,18.5,100,50,18.4950008392334,20.35,22.2,24.05,17.02,2026-06-24T16:39:47-04:00,1850.0,1849.5000839233398,-0.49991607666015625,-0.027022490630279616,OPEN
2026-06-24,UAA,6.07,100,50,6.065000057220459,6.6770000000000005,7.284,7.891000000000001,5.5844000000000005,2026-06-24T16:39:47-04:00,607.0,606.5000057220459,-0.49999427795410156,-0.08237138022308965,OPEN
2026-06-24,UA,5.88,100,50,5.875,6.468,7.056,7.644,5.4096,2026-06-24T16:39:47-04:00,588.0,587.5,-0.5,-0.08503401360544505,OPEN
