ticker,price,day_%,week_%,rvol,rsi,compression_%,dist_20d_high_%,risk_to_5d_low_%,target_10%,target_20%,target_30%,score,signal,why
COUR,6.07,12.29,13.98,2.34,74.1,14.62,0.0,12.76,6.68,7.29,7.9,25,🔴 PASS,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today"
BLZE,11.97,2.66,44.39,3.46,81.6,47.41,0.0,32.16,13.17,14.36,15.56,24,🔴 PASS,"tradeable price, not chasing today, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: already running, penalty: RSI overheated"
KSS,18.91,7.87,14.47,0.88,70.4,13.98,0.0,12.27,20.8,22.69,24.58,24,🔴 PASS,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, near breakout"
SLDB,9.25,5.23,30.83,1.56,74.7,26.54,0.0,20.97,10.18,11.1,12.03,24,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: already running"
NIXX,1.47,-2.0,65.37,0.43,79.3,42.86,2.0,28.57,1.62,1.76,1.91,24,🔴 PASS,"tradeable price, not chasing today, above 20SMA, above 50SMA, prior accumulation, coiled under breakout, penalty: already running, penalty: RSI overheated"
AVAH,8.47,3.29,12.63,1.16,90.8,12.33,0.0,10.98,9.32,10.16,11.01,24,🔴 PASS,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, near breakout, penalty: RSI overheated"
WAY,19.0,3.2,3.37,1.09,46.1,9.76,13.32,8.89,20.9,22.8,24.7,24,🔴 PASS,"tradeable price, early weekly momentum, not chasing today, healthy RSI"
PLTD,9.17,3.03,16.52,1.26,81.7,14.2,0.0,12.43,10.09,11.0,11.92,24,🔴 PASS,"tradeable price, not chasing today, above 20SMA, above 50SMA, near breakout, buying volume present, penalty: RSI overheated"
GERN,1.38,2.59,17.37,1.39,75.3,12.6,0.0,11.19,1.52,1.66,1.8,24,🔴 PASS,"tradeable price, not chasing today, above 20SMA, above 50SMA, near breakout, buying volume present, penalty: RSI overheated"
CHWY,19.01,6.5,0.74,1.32,36.6,8.57,15.66,7.89,20.91,22.81,24.71,22,🔴 PASS,"tradeable price, early weekly momentum, risk under 8%, buying volume present"
FULC,3.76,-2.34,8.67,0.68,67.5,10.0,45.66,6.91,4.14,4.51,4.89,22,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, risk under 8%"
GETY,0.94,1.08,39.67,0.76,56.2,92.63,18.97,36.49,1.03,1.13,1.22,22,🔴 PASS,"not chasing today, healthy RSI, above 20SMA, above 50SMA, prior accumulation, penalty: already running"
CTMX,3.32,5.4,13.31,1.08,54.8,12.54,12.86,11.14,3.65,3.98,4.32,21,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, above 20SMA"
OVID,2.5,7.76,5.93,1.04,54.6,11.11,8.42,10.0,2.75,3.0,3.25,21,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, above 20SMA"
