Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,strategy_score,strategy_signal,day_move_%,week_move_%,rsi_14,sma_20,sma_50,distance_to_20d_high_%,downside_to_10d_low_%,relative_volume_20d,strategy_notes,earnings_date,sessions_to_earnings,earnings_blocked,earnings_status
BKD,Brookdale Senior Living Inc,Healthcare,Medical Care Facilities,USA,3680000000.0,,15.41,0.049,6556074.0,16,🔴 PASS,4.9,13.14,83.0,13.17,13.42,-2.34,20.11,1.48,"controlled daily move, above 20SMA, above 50SMA, prior accumulation, volume confirmation, penalty: RSI >75",,,False,NOT CHECKED
COMP,Compass Inc,Real Estate,Real Estate Services,USA,8369999999.999999,1032.71,11.05,0.037599999999999995,20390220.0,16,🔴 PASS,3.76,17.55,83.1,8.85,8.34,-1.86,42.95,1.5,"controlled daily move, above 20SMA, above 50SMA, prior accumulation, volume confirmation, penalty: RSI >75",,,False,NOT CHECKED
LXRX,Lexicon Pharmaceuticals Inc,Healthcare,Biotechnology,USA,1020000000.0,,2.29,0.0315,3395226.0,16,🔴 PASS,3.15,12.25,86.8,2.01,1.96,-0.87,24.46,1.52,"controlled daily move, above 20SMA, above 50SMA, prior accumulation, volume confirmation, penalty: RSI >75",,,False,NOT CHECKED
OLMA,Olema Pharmaceuticals Inc,Healthcare,Biotechnology,USA,998380000.0,,11.43,0.026000000000000002,2568633.0,16,🔴 PASS,2.6,21.08,57.5,10.59,13.06,22.57,26.16,1.47,"controlled daily move, healthy RSI, above 20SMA, prior accumulation, volume confirmation, penalty: weekly move >18%",,,False,NOT CHECKED
HLMN,Hillman Solutions Corp,Industrials,Tools & Accessories,USA,1630000000.0,46.2,8.32,0.013999999999999999,1545881.0,15,🔴 PASS,1.4,7.49,75.1,7.65,7.84,-1.32,14.76,0.81,"early weekly momentum, controlled daily move, above 20SMA, above 50SMA, penalty: RSI >75",,,False,NOT CHECKED
ARRY,Array Technologies Inc,Technology,Solar,USA,1180000000.0,,7.69,0.0,5758262.0,14,🔴 PASS,0.0,0.39,37.6,8.15,8.15,24.12,12.76,0.89,"early weekly momentum, controlled daily move",,,False,NOT CHECKED
PGEN,Precigen Inc,Healthcare,Biotechnology,USA,1970000000.0,,5.52,0.0222,5354637.0,14,🔴 PASS,2.22,16.7,82.2,4.45,4.27,1.63,45.26,0.94,"controlled daily move, above 20SMA, above 50SMA, near 20-day breakout, penalty: RSI >75",,,False,NOT CHECKED
AIRJ,AirJoule Technologies Corp,Industrials,Building Products & Equipment,USA,342090000.0,,4.72,-0.047400000000000005,1225437.0,13,🔴 PASS,-4.74,7.88,33.1,4.74,4.0,26.98,16.09,0.56,"early weekly momentum, above 50SMA",,,False,NOT CHECKED
CRDF,Cardiff Oncology Inc,Healthcare,Biotechnology,USA,82730000.0,,1.21,-0.0397,1268974.0,13,🔴 PASS,-3.97,2.54,30.7,1.45,1.61,63.64,4.31,0.79,"early weekly momentum, manageable downside",,,False,NOT CHECKED
EDIT,Editas Medicine Inc,Healthcare,Biotechnology,USA,420490000.0,,2.74,-0.021400000000000002,2787038.0,13,🔴 PASS,-2.14,7.45,40.7,2.77,2.92,43.8,16.6,0.8,"early weekly momentum, prior accumulation",,,False,NOT CHECKED
CGEM,Cullinan Therapeutics Inc,Healthcare,Biotechnology,USA,1140000000.0,,18.48,0.047,1306755.0,12,🔴 PASS,4.7,27.98,71.8,14.97,14.68,1.52,54.39,0.9,"controlled daily move, above 20SMA, above 50SMA, near 20-day breakout, penalty: weekly move >18%",,,False,NOT CHECKED
FRMI,Fermi Inc,Real Estate,REIT - Specialty,USA,5610000000.0,,8.8,0.1014,19409724.0,11,🔴 PASS,10.14,1.62,69.4,7.26,6.36,15.17,35.8,0.97,"early weekly momentum, healthy RSI, above 20SMA, above 50SMA, penalty: daily move >8%",,,False,NOT CHECKED
WKSP,Worksport Ltd,Consumer Cyclical,Auto Parts,USA,14200000.0,,0.96,-0.06309999999999999,7711051.0,11,🔴 PASS,-6.31,61.37,67.5,0.72,0.89,31.61,69.6,0.48,"healthy RSI, above 20SMA, above 50SMA, prior accumulation, penalty: weekly move >18%",,,False,NOT CHECKED
MRVI,Maravai LifeSciences Holdings Inc,Healthcare,Biotechnology,USA,1580000000.0,,6.12,0.0625,6474074.0,10,🔴 PASS,6.25,17.24,83.0,5.11,4.43,-5.47,26.16,2.25,"above 20SMA, above 50SMA, prior accumulation, volume confirmation, penalty: RSI >75",,,False,NOT CHECKED
HAIN,Hain Celestial Group Inc,Consumer Defensive,Packaged Foods,USA,52740000.0,,0.58,-0.0183,1697096.0,9,🔴 PASS,-3.33,0.0,17.9,0.67,0.74,48.28,1.75,1.64,"manageable downside, volume confirmation",,,False,NOT CHECKED
NEO,Neogenomics Inc,Healthcare,Diagnostics & Research,USA,1790000000.0,,13.73,0.0643,4310337.0,8,🔴 PASS,6.43,32.27,71.1,11.11,9.66,-5.39,36.62,1.44,"above 20SMA, above 50SMA, prior accumulation, volume confirmation, penalty: weekly move >18%",,,False,NOT CHECKED
ATAI,AtaiBeckley Inc,Healthcare,Biotechnology,USA,1690000000.0,,4.58,0.0983,11003285.0,7,🔴 PASS,9.83,12.53,52.0,4.19,4.22,9.17,24.8,2.01,"healthy RSI, above 20SMA, above 50SMA, volume confirmation, penalty: daily move >8%",,,False,NOT CHECKED
RGNX,Regenxbio Inc,Healthcare,Biotechnology,USA,529380000.0,,10.24,0.0271,1550201.0,7,🔴 PASS,2.71,29.62,78.7,7.38,8.01,7.23,74.15,0.73,"controlled daily move, above 20SMA, above 50SMA, near 20-day breakout, prior accumulation, penalty: weekly move >18%, penalty: RSI >75",,,False,NOT CHECKED
GETY,Getty Images Holdings Inc,Communication Services,Internet Content & Information,USA,414390000.0,,0.99,0.052199999999999996,9593789.0,6,🔴 PASS,5.21,65.66,58.6,0.84,0.87,49.65,69.93,0.64,"healthy RSI, above 20SMA, above 50SMA, penalty: weekly move >18%",,,False,NOT CHECKED
PACB,Pacific Biosciences of California Inc,Healthcare,Medical Devices,USA,496960000.0,,1.6,0.11109999999999999,10584667.0,0,🔴 PASS,11.11,19.4,48.1,1.43,1.45,10.62,23.08,1.85,"healthy RSI, above 20SMA, above 50SMA, prior accumulation, volume confirmation, penalty: daily move >8%, penalty: weekly move >18%",,,False,NOT CHECKED
PSNL,Personalis Inc,Healthcare,Diagnostics & Research,USA,1320000000.0,,12.59,0.10830000000000001,5262188.0,0,🔴 PASS,10.83,29.13,53.5,10.54,8.14,-0.48,37.75,1.6,"healthy RSI, above 20SMA, above 50SMA, prior accumulation, volume confirmation, penalty: daily move >8%, penalty: weekly move >18%",,,False,NOT CHECKED
BRBR,Bellring Brands Inc,Consumer Defensive,Packaged Foods,USA,1320000000.0,8.81,11.39,-0.0437,5368264.0,-1,🔴 PASS,-4.37,25.58,73.5,9.25,11.42,10.14,38.23,0.87,"above 20SMA, prior accumulation, penalty: weekly move >18%",,,False,NOT CHECKED
LILAK,Liberty Latin America Ltd,Communication Services,Telecom Services,USA,1400000000.0,,6.91,0.055,2565094.0,-2,🔴 PASS,5.5,31.62,76.2,5.48,5.52,-4.27,45.32,1.34,"above 20SMA, above 50SMA, prior accumulation, volume confirmation, penalty: weekly move >18%, penalty: RSI >75",,,False,NOT CHECKED
DOMO,Domo Inc,Technology,Software - Application,USA,110170000.0,,2.44,-0.1127,2823123.0,-3,🔴 PASS,-11.27,22.0,31.6,3.15,3.47,90.98,32.61,1.08,"prior accumulation, volume confirmation, penalty: weekly move >18%",,,False,NOT CHECKED
NRGV,Energy Vault Holdings Inc,Utilities,Utilities - Renewable,USA,759330000.0,,4.26,0.084,5793059.0,-3,🔴 PASS,8.4,3.9,20.9,4.77,4.7,55.99,12.4,1.01,"early weekly momentum, volume confirmation, penalty: daily move >8%",,,False,NOT CHECKED
SLS,SELLAS Life Sciences Group Inc,Healthcare,Biotechnology,USA,1960000000.0,,10.53,0.1483,15109501.0,-5,🔴 PASS,14.83,35.7,62.7,8.41,6.87,-9.69,48.94,1.82,"healthy RSI, above 20SMA, above 50SMA, volume confirmation, penalty: daily move >8%, penalty: weekly move >18%",,,False,NOT CHECKED
NWL,Newell Brands Inc,Consumer Defensive,Household & Personal Products,USA,2500000000.0,,5.89,0.069,18272662.0,-7,🔴 PASS,6.9,18.51,87.3,4.41,4.21,-6.11,38.26,1.58,"above 20SMA, above 50SMA, volume confirmation, penalty: weekly move >18%, penalty: RSI >75",,,False,NOT CHECKED
ATLN,Atlantic International Corp,Industrials,Staffing & Employment Services,USA,84540000.0,,1.04,0.3332,83794336.0,-14,🔴 PASS,33.33,85.38,45.4,0.95,1.35,75.0,151.21,3.44,"healthy RSI, above 20SMA, penalty: daily move >8%, penalty: weekly move >18%",,,False,NOT CHECKED
IQST,iQSTEL Inc,Communication Services,Telecom Services,USA,10710000.0,,1.59,0.4722,104395432.0,-17,🔴 PASS,47.22,22.31,69.3,1.17,1.32,-10.69,54.37,86.86,"healthy RSI, above 20SMA, above 50SMA, penalty: daily move >8%, penalty: weekly move >18%, penalty: possible volume mania",,,False,NOT CHECKED
FCUV,Focus Universal Inc,Technology,Scientific & Technical Instruments,USA,3350000.0,,4.76,0.07690000000000001,28356072.0,-19,🔴 PASS,7.69,600.0,91.9,1.48,1.33,55.46,608.33,6.57,"above 20SMA, above 50SMA, penalty: weekly move >18%, penalty: RSI >75, penalty: possible volume mania",,,False,NOT CHECKED
BLZE,Backblaze Inc,Technology,Software - Infrastructure,USA,805200000.0,,13.42,0.1211,12127711.0,-21,🔴 PASS,12.11,62.27,84.1,8.7,7.03,-5.96,81.72,3.23,"above 20SMA, above 50SMA, prior accumulation, penalty: daily move >8%, penalty: weekly move >18%, penalty: RSI >75",,,False,NOT CHECKED
ILLR,Triller Group Inc,Technology,Software - Application,USA,60690000.0,,3.05,2.9657,224207520.0,-34,🔴 PASS,296.62,1933.33,78.7,0.55,0.37,-47.54,1933.33,88.97,"above 20SMA, above 50SMA, penalty: daily move >8%, penalty: weekly move >18%, penalty: RSI >75, penalty: possible volume mania",,,False,NOT CHECKED
