ticker,open,current,prior_close,vwap,first_15m_high,current_vs_open_%,current_vs_prior_%,score,signal,notes,target_10,target_20,target_30,stop_8
IMNM,19.53,19.77,19.34,19.56,19.86,1.23,2.2,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",21.75,23.72,25.7,18.19
HRTX,0.41,0.43,0.42,0.44,0.43,4.24,3.27,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",0.48,0.52,0.56,0.4
GIPR,0.17,0.18,0.17,0.17,0.17,6.65,5.59,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",0.2,0.22,0.24,0.17
HBAN,17.4,17.56,17.42,17.61,17.53,0.92,0.83,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",19.32,21.07,22.83,16.16
HAYW,14.92,15.77,14.79,15.6,15.2,5.7,6.63,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",17.35,18.92,20.5,14.51
AAL,16.44,17.44,16.14,17.24,16.98,6.08,8.09,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",19.18,20.93,22.67,16.04
KSS,17.64,18.9,17.51,18.57,18.3,7.14,7.91,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",20.79,22.68,24.57,17.39
RZLT,4.9,5.03,4.89,5.09,4.99,2.65,2.97,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",5.53,6.04,6.54,4.63
XRAY,10.35,10.51,10.18,10.5,10.71,1.55,3.24,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",11.56,12.61,13.66,9.67
WAY,18.34,18.99,18.42,18.94,19.1,3.54,3.09,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",20.89,22.79,24.69,17.47
TECS,6.86,6.98,6.85,6.94,6.98,1.75,1.9,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",7.68,8.38,9.07,6.42
SVRA,5.83,5.84,5.77,5.83,5.93,0.17,1.21,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",6.42,7.01,7.59,5.37
SLDE,17.54,18.31,17.46,18.37,17.89,4.39,4.87,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",20.14,21.97,23.8,16.85
SBH,13.51,14.33,13.32,14.15,13.74,6.07,7.58,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",15.76,17.2,18.63,13.18
REAL,12.27,12.85,12.21,12.89,12.73,4.77,5.24,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",14.14,15.42,16.71,11.82
LILAK,6.18,6.56,5.89,6.41,6.32,6.15,11.38,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",7.22,7.87,8.53,6.04
QID,14.36,14.55,14.57,14.47,14.47,1.32,-0.17,40,🔥 BUY TODAY,"above open, above VWAP, broke first 15m high, not overextended",16.01,17.46,18.92,13.39
NWL,5.16,5.51,5.12,5.43,5.35,6.88,7.61,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",6.07,6.62,7.17,5.07
FLG,15.06,15.1,15.05,15.06,15.19,0.23,0.33,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",16.6,18.11,19.62,13.89
NUVB,6.08,6.48,6.02,6.46,6.32,6.58,7.64,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",7.13,7.78,8.42,5.96
NAVI,7.98,8.44,7.99,8.36,8.17,5.76,5.63,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",9.28,10.13,10.97,7.76
LYFT,13.87,14.41,13.82,14.45,14.19,3.93,4.27,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",15.86,17.3,18.74,13.26
FLYW,15.58,16.54,15.62,16.42,15.86,6.16,5.89,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",18.19,19.85,21.5,15.22
JBI,5.32,5.55,5.24,5.56,5.47,4.32,5.91,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",6.11,6.67,7.22,5.11
AVR,10.36,10.41,10.28,10.19,10.42,0.48,1.26,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",11.45,12.49,13.53,9.58
COMP,10.0,10.65,9.89,10.6,10.42,6.5,7.74,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",11.71,12.78,13.84,9.8
APPS,9.44,10.14,9.26,9.92,9.47,7.36,9.56,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",11.15,12.17,13.18,9.33
AVAH,8.3,8.47,8.21,8.48,8.46,2.05,3.17,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",9.32,10.16,11.01,7.79
BCRX,9.42,10.0,9.31,9.72,9.54,6.16,7.41,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",11.0,12.0,13.0,9.2
ALKT,14.99,15.97,15.06,15.65,15.44,6.54,6.04,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",17.57,19.16,20.76,14.69
BLZE,11.88,11.97,11.68,11.59,12.62,0.76,2.53,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",13.17,14.36,15.56,11.01
BTCZ,6.05,6.42,5.94,6.33,6.13,6.2,8.08,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",7.06,7.7,8.35,5.91
AGNT,4.89,5.22,4.77,5.19,5.08,6.75,9.43,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",5.74,6.26,6.79,4.8
CHWY,17.97,19.0,17.85,18.81,18.5,5.73,6.44,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high",20.9,22.8,24.7,17.48
CHYM,16.68,17.36,16.65,17.47,16.97,4.11,4.33,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",19.1,20.84,22.57,15.98
CLOV,5.12,5.2,5.05,5.19,5.27,1.66,3.07,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",5.73,6.25,6.77,4.79
BGC,12.53,12.66,12.57,12.7,12.65,1.04,0.68,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",13.93,15.19,16.46,11.65
CTMX,3.16,3.33,3.17,3.34,3.25,5.22,4.89,30,👀 WAIT,"above open, above prior close, broke first 15m high",3.66,3.99,4.32,3.06
SPRY,10.41,10.55,10.25,10.65,10.73,1.34,2.93,30,👀 WAIT,"above open, above prior close, not overextended",11.61,12.66,13.72,9.71
MGNX,4.7,4.76,4.7,4.83,4.87,1.38,1.49,30,👀 WAIT,"above open, above prior close, not overextended",5.24,5.72,6.19,4.38
TRVI,17.46,17.53,17.35,17.62,17.78,0.4,1.04,30,👀 WAIT,"above open, above prior close, not overextended",19.28,21.04,22.79,16.13
MITK,17.38,17.37,17.32,17.24,17.49,-0.06,0.32,30,👀 WAIT,"above prior close, above VWAP, not overextended",19.11,20.84,22.58,15.98
FTRE,16.83,17.01,16.45,17.26,17.78,1.1,3.43,30,👀 WAIT,"above open, above prior close, not overextended",18.72,20.42,22.12,15.65
EDIT,2.76,2.81,2.76,2.86,2.88,2.0,2.0,30,👀 WAIT,"above open, above prior close, not overextended",3.09,3.37,3.65,2.59
BBBY,6.64,6.7,6.6,6.85,7.0,0.83,1.44,30,👀 WAIT,"above open, above prior close, not overextended",7.36,8.03,8.7,6.16
AVO,11.86,12.17,11.71,12.22,12.22,2.61,3.93,30,👀 WAIT,"above open, above prior close, not overextended",13.39,14.6,15.82,11.2
OLMA,10.58,11.15,10.53,11.25,10.64,5.34,5.84,30,👀 WAIT,"above open, above prior close, broke first 15m high",12.26,13.37,14.49,10.25
SNDX,19.73,19.99,19.61,20.34,20.25,1.32,1.94,30,👀 WAIT,"above open, above prior close, not overextended",21.99,23.99,25.99,18.39
LXRX,2.19,2.22,2.15,2.23,2.25,1.37,3.02,30,👀 WAIT,"above open, above prior close, not overextended",2.44,2.66,2.89,2.04
ATEC,8.5,8.7,8.49,8.81,8.94,2.41,2.47,30,👀 WAIT,"above open, above prior close, not overextended",9.58,10.45,11.32,8.01
RC,1.68,1.72,1.68,1.74,1.73,2.08,1.78,30,👀 WAIT,"above open, above prior close, not overextended",1.89,2.06,2.23,1.58
REAX,1.75,1.78,1.75,1.8,1.83,1.71,1.42,30,👀 WAIT,"above open, above prior close, not overextended",1.96,2.14,2.31,1.64
RKT,13.9,14.73,13.48,14.99,14.65,5.94,9.24,30,👀 WAIT,"above open, above prior close, broke first 15m high",16.2,17.67,19.14,13.55
RLAY,17.54,18.0,17.43,18.27,18.15,2.62,3.27,30,👀 WAIT,"above open, above prior close, not overextended",19.8,21.6,23.4,16.56
FLO,7.59,7.64,7.55,7.7,7.69,0.66,1.13,30,👀 WAIT,"above open, above prior close, not overextended",8.4,9.17,9.93,7.03
APLE,16.69,16.66,16.61,16.51,16.73,-0.18,0.27,30,👀 WAIT,"above prior close, above VWAP, not overextended",18.33,19.99,21.66,15.33
SFIX,4.35,4.43,4.34,4.47,4.47,1.72,2.08,30,👀 WAIT,"above open, above prior close, not overextended",4.87,5.31,5.75,4.07
BKD,13.98,14.69,13.84,14.69,14.09,5.04,6.14,30,👀 WAIT,"above open, above prior close, broke first 15m high",16.15,17.62,19.09,13.51
ANNX,5.3,5.3,5.27,5.43,5.39,0.09,0.66,30,👀 WAIT,"above open, above prior close, not overextended",5.84,6.37,6.9,4.88
CTKB,4.1,4.28,4.07,4.3,4.29,4.39,5.03,30,👀 WAIT,"above open, above prior close, not overextended",4.71,5.14,5.56,3.94
GAB,5.53,5.53,5.53,5.55,5.58,0.09,0.09,30,👀 WAIT,"above open, above prior close, not overextended",6.09,6.64,7.2,5.09
ABSI,9.51,10.07,7.38,9.91,10.84,6.0,36.61,30,👀 WAIT,"above open, above prior close, above VWAP",11.08,12.09,13.1,9.27
BOLD,2.6,2.61,2.6,2.65,2.79,0.19,0.19,30,👀 WAIT,"above open, above prior close, not overextended",2.87,3.13,3.39,2.4
GERN,1.36,1.38,1.36,1.41,1.38,1.47,1.85,30,👀 WAIT,"above open, above prior close, not overextended",1.52,1.66,1.79,1.27
CATX,3.0,2.99,2.99,2.98,3.07,-0.17,0.17,30,👀 WAIT,"above prior close, above VWAP, not overextended",3.29,3.59,3.89,2.76
XERS,7.28,7.4,7.21,7.43,7.47,1.65,2.64,30,👀 WAIT,"above open, above prior close, not overextended",8.14,8.88,9.62,6.81
KVYO,13.58,14.04,13.49,14.15,14.2,3.39,4.08,30,👀 WAIT,"above open, above prior close, not overextended",15.44,16.85,18.25,12.92
