Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
PRME,Prime Medicine Inc,Healthcare,Biotechnology,USA,563530000.0,,3.12,-0.037000000000000005,3804457.0
PSNL,Personalis Inc,Healthcare,Diagnostics & Research,USA,1190000000.0,,11.36,0.1292,5948864.0
QS,QuantumScape Corp,Consumer Cyclical,Auto Parts,USA,4380000000.0,,7.12,-0.0404,27874656.0
QTRX,Quanterix Corp,Healthcare,Medical Devices,USA,178060000.0,,3.78,0.1739,1611886.0
RC,Ready Capital Corp,Real Estate,REIT - Mortgage,USA,282530000.0,,1.71,0.0179,1673079.0
REAL,Therealreal Inc,Consumer Cyclical,Luxury Goods,USA,1550000000.0,,12.86,0.053200000000000004,3524855.0
REAX,The Real Brokerage Inc,Real Estate,Real Estate Services,USA,379860000.0,,1.77,0.011399999999999999,3694058.0
RGNX,Regenxbio Inc,Healthcare,Biotechnology,USA,515419999.99999994,,9.97,0.002,2313535.0
RKT,Rocket Companies Inc,Financial,Mortgage Finance,USA,41680000000.0,249.66,14.73,0.0935,60690291.0
RLAY,Relay Therapeutics Inc,Healthcare,Biotechnology,USA,3930000000.0,,18.02,0.0333,4594003.0
RUN,Sunrun Inc,Technology,Solar,USA,3440000000.0,6.74,14.42,0.1257,52928403.0
RZLT,Rezolute Inc,Healthcare,Biotechnology,USA,484350000.0,,5.03,0.0286,2689627.0
SBH,Sally Beauty Holdings Inc,Consumer Cyclical,Specialty Retail,USA,1370000000.0,7.9,14.32,0.0751,2321193.0
SBRA,Sabra Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,4810000000.0,30.21,19.09,0.024700000000000003,4117690.0
SFIX,Stitch Fix Inc,Consumer Cyclical,Apparel Retail,USA,588400000.0,,4.41,0.018500000000000003,2749632.0
SHC,Sotera Health Co,Healthcare,Diagnostics & Research,USA,4760000000.0,40.68,16.69,0.0537,4673698.0
SHLS,Shoals Technologies Group Inc,Technology,Solar,USA,1710000000.0,51.2,10.2,-0.0078000000000000005,8226215.0
SKYQ,Sky Quarry Inc,Energy,Oil & Gas Integrated,USA,12560000.0,,2.62,0.5976,63507684.0
SLDB,Solid Biosciences Inc,Healthcare,Biotechnology,USA,910660000.0,,9.25,0.052300000000000006,3549953.0
SLDE,Slide Insurance Holdings Inc,Financial,Insurance - Property & Casualty,USA,2100000000.0,5.08,18.31,0.0475,2177833.0
SMMT,Summit Therapeutics Inc,Healthcare,Biotechnology,USA,11060000000.0,,14.25,0.0,6767706.0
SNDX,Syndax Pharmaceuticals Inc,Healthcare,Biotechnology,USA,1770000000.0,,19.98,0.0189,2261312.0
SPRY,ARS Pharmaceuticals Inc,Healthcare,Biotechnology,USA,1050000000.0,,10.54,0.0253,1769632.0
SVRA,Savara Inc,Healthcare,Biotechnology,USA,1190000000.0,,5.83,0.0087,1897616.0
TRVI,Trevi Therapeutics Inc,Healthcare,Biotechnology,USA,2490000000.0,,17.52,0.008100000000000001,3687833.0
UA,Under Armour Inc,Consumer Cyclical,Apparel Manufacturing,USA,2550000000.0,,5.88,0.0481,3618413.0
UAA,Under Armour Inc,Consumer Cyclical,Apparel Manufacturing,USA,2550000000.0,,6.06,0.0484,10457799.0
UTZ,Utz Brands Inc,Consumer Defensive,Packaged Foods,USA,1060000000.0,,7.35,0.0426,2056754.0
VIR,Vir Biotechnology Inc,Healthcare,Biotechnology,USA,1680000000.0,,9.95,-0.0207,2368176.0
VLY,Valley National Bancorp,Financial,Banks - Regional,USA,8100000000.0,13.1,14.61,0.016,7197176.0
VTAK,Catheter Precision Inc,Healthcare,Medical Devices,USA,3210000.0,,1.19,0.29350000000000004,99496775.0
WAY,Waystar Holding Corp,Healthcare,Health Information Services,USA,3640000000.0,28.38,19.0,0.032,2703557.0
WEN,Wendy's Co,Consumer Cyclical,Restaurants,USA,1500000000.0,10.14,7.86,0.2566,205224499.0
WKSP,Worksport Ltd,Consumer Cyclical,Auto Parts,USA,15160000.0,,1.03,0.2262,38243973.0
XERS,Xeris Biopharma Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1280000000.0,112.98,7.4,0.0278,1719266.0
XRAY,DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies,USA,2109999999.9999998,,10.52,0.031400000000000004,4795579.0
ZONE,CleanCore Solutions Inc,Industrials,Pollution & Treatment Controls,USA,178560000.0,,0.8,-0.1304,4793940.0
